CumEpisodes,Reward,Success,Elimination
1000,61.63,True,True
2000,106.15,True,True
3000,51.32,True,True
4000,47.33,True,True
5000,78.16,True,True
6000,68.87,True,True
7000,91.97,True,True
8000,22.09,True,True
9000,107.93,True,True
10000,98.47,True,True
11000,121.82,True,True
12000,87.67,True,True
13000,79.04,True,True
14000,51.33,True,True
15000,83.88,True,True
16000,87.17,True,True
17000,81.48,True,True
18000,60.79,True,True
19000,94.69,True,True
20000,42.09,True,True
21000,117.55,True,True
22000,89.48,True,True
23000,49.79,True,True
24000,35.58,True,True
25000,45.92,True,True
26000,82.28,True,True
27000,60.72,True,True
28000,50.87,True,True
29000,74.21,True,True
30000,68.15,True,True
31000,71.38,True,True
32000,62.25,True,True
33000,92.53,True,True
34000,96.22,True,True
35000,85.78,True,True
36000,45.64,True,True
37000,57.13,True,True
38000,61.68,True,True
39000,48.43,True,True
40000,109.13,True,True
41000,117.82,True,True
42000,63.94,True,True
43000,94.64,True,True
44000,91.06,True,True
45000,50.61,True,True
46000,41.23,True,True
47000,89.15,True,True
48000,96.58,True,True
49000,99.19,True,True
50000,88.33,True,True
51000,98.14,True,True
52000,101.24,True,True
53000,45.65,True,True
54000,80.96,True,True
55000,94.22,True,True
56000,71.48,True,True
57000,114.12,True,True
58000,79.1,True,True
59000,86.44,True,True
60000,104.93,True,True
61000,86.11,True,True
62000,104.38,True,True
63000,71.45,True,True
64000,73.33,True,True
65000,122.56,True,True
66000,117.29,True,True
67000,46.72,True,True
68000,116.24,True,True
69000,71.87,True,True
70000,18.79,True,True
71000,96.77,True,True
72000,93.74,True,True
73000,55.14,True,True
74000,83.08,True,True
75000,101.95,True,True
76000,72.03,True,True
77000,39.67,True,True
78000,97.86,True,True
79000,70.19,True,True
80000,56.69,True,True
81000,90.64,True,True
82000,80.42,True,True
83000,76.94,True,True
84000,112.97,True,True
85000,60.5,True,True
86000,111.21,True,True
87000,35.31,True,True
88000,60.55,True,True
89000,87.43,True,True
90000,116.48,True,True
91000,101.46,True,True
92000,24.62,True,True
93000,49.83,True,True
94000,46.84,True,True
95000,108.34,True,True
96000,79.01,True,True
97000,23.03,True,True
98000,50.79,True,True
99000,56.65,True,True
100000,81.44,True,True
