CumEpisodes,Reward,Success,Elimination
1000,54.83,True,False
2000,102.25,True,False
3000,41.81,True,False
4000,42.63,True,False
5000,70.31,True,False
6000,59.15,True,False
7000,86.97,True,False
8000,14.75,True,False
9000,101.7,True,False
10000,92.16,True,False
11000,116.78,True,False
12000,81.48,True,False
13000,71.31,True,False
14000,43.04,True,False
15000,78.37,True,False
16000,80.77,True,False
17000,76.48,True,False
18000,50.24,True,False
19000,84.67,True,False
20000,37.08,True,False
21000,107.43,True,False
22000,84.05,True,False
23000,44.79,True,False
24000,28.13,True,False
25000,35.54,True,False
26000,73.08,True,False
27000,52.35,True,False
28000,40.44,True,False
29000,64.15,True,False
30000,62.27,True,False
31000,65.31,True,False
32000,56.52,True,False
33000,81.64,True,False
34000,92.03,True,False
35000,75.55,True,False
36000,39.17,True,False
37000,50.72,True,False
38000,56.32,True,False
39000,43.28,True,False
40000,98.8,True,False
41000,112.37,True,False
42000,55.72,True,False
43000,85.87,True,False
44000,84.57,True,False
45000,43.16,True,False
46000,34.33,True,False
47000,84.15,True,False
48000,93.71,True,False
49000,93.82,True,False
50000,82.32,True,False
51000,92.04,True,False
52000,90.43,True,False
53000,38.47,True,False
54000,74.99,True,False
55000,87.41,True,False
56000,59.92,True,False
57000,108.37,True,False
58000,73.25,True,False
59000,80.65,True,False
60000,94.33,True,False
61000,75.6,True,False
62000,100.59,True,False
63000,65.38,True,False
64000,64.12,True,False
65000,112.15,True,False
66000,110.8,True,False
67000,40.99,True,False
68000,110.57,True,False
69000,66.02,True,False
70000,11.29,True,False
71000,91.41,True,False
72000,86.0,True,False
73000,49.71,True,False
74000,72.58,True,False
75000,91.03,True,False
76000,61.18,True,False
77000,29.77,True,False
78000,90.66,True,False
79000,64.53,True,False
80000,45.8,True,False
81000,80.22,True,False
82000,69.75,True,False
83000,71.61,True,False
84000,102.04,True,False
85000,54.21,True,False
86000,100.94,True,False
87000,30.31,True,False
88000,50.12,True,False
89000,81.8,True,False
90000,106.04,True,False
91000,96.06,True,False
92000,14.72,True,False
93000,43.13,True,False
94000,40.64,True,False
95000,102.22,True,False
96000,74.01,True,False
97000,16.84,True,False
98000,40.44,True,False
99000,50.75,True,False
100000,75.5,True,False
101000,54.1,True,False
102000,44.2,True,False
103000,90.36,True,False
104000,106.03,True,False
105000,102.74,True,False
106000,93.87,True,False
107000,77.3,True,False
108000,112.48,True,False
109000,55.02,True,False
110000,86.15,True,False
111000,81.41,True,False
112000,61.6,True,False
113000,85.57,True,False
114000,78.98,True,False
115000,79.01,True,False
116000,78.5,True,False
117000,77.48,True,False
118000,37.38,True,False
119000,47.15,True,False
120000,50.12,True,False
121000,108.27,True,False
122000,80.28,True,False
123000,66.35,True,False
124000,86.43,True,False
125000,96.93,True,False
126000,116.09,True,False
127000,96.97,True,False
128000,68.92,True,False
129000,73.22,True,False
130000,98.09,True,False
131000,30.16,True,False
132000,57.25,True,False
133000,92.83,True,False
134000,48.06,True,False
135000,64.04,True,False
136000,111.19,True,False
137000,87.66,True,False
138000,28.48,True,False
139000,47.9,True,False
140000,81.84,True,False
141000,40.88,True,False
142000,37.1,True,False
143000,63.12,True,False
144000,86.16,True,False
145000,109.67,True,False
146000,51.53,True,False
147000,62.4,True,False
148000,87.64,True,False
149000,15.59,True,False
150000,66.71,True,False
151000,77.51,True,False
152000,23.04,True,False
153000,89.64,True,False
154000,52.15,True,False
155000,29.79,True,False
156000,72.17,True,False
157000,38.51,True,False
158000,112.96,True,False
159000,74.46,True,False
160000,61.61,True,False
161000,59.45,True,False
162000,62.79,True,False
163000,51.42,True,False
164000,83.76,True,False
165000,33.71,True,False
166000,63.61,True,False
167000,79.83,True,False
168000,54.62,True,False
169000,29.71,True,False
170000,113.62,True,False
171000,29.15,True,False
172000,109.61,True,False
173000,87.18,True,False
174000,47.56,True,False
175000,66.65,True,False
176000,91.93,True,False
177000,46.71,True,False
178000,97.09,True,False
179000,66.71,True,False
180000,91.84,True,False
181000,90.3,True,False
182000,87.51,True,False
183000,14.34,True,False
184000,97.19,True,False
185000,89.75,True,False
186000,44.94,True,False
187000,63.15,True,False
188000,43.48,True,False
189000,74.72,True,False
190000,34.61,True,False
191000,77.82,True,False
192000,60.97,True,False
193000,57.4,True,False
194000,23.52,True,False
195000,83.53,True,False
196000,44.22,True,False
197000,18.56,True,False
198000,36.71,True,False
199000,31.04,True,False
200000,71.37,True,False
201000,85.14,True,False
202000,94.07,True,False
203000,76.67,True,False
204000,58.77,True,False
205000,37.63,True,False
206000,66.38,True,False
207000,70.46,True,False
208000,81.58,True,False
209000,58.31,True,False
210000,105.33,True,False
211000,27.26,True,False
212000,69.11,True,False
213000,71.63,True,False
214000,106.4,True,False
215000,89.91,True,False
216000,92.03,True,False
217000,85.99,True,False
218000,94.89,True,False
219000,109.54,True,False
220000,80.01,True,False
221000,42.92,True,False
222000,46.81,True,False
223000,17.66,True,False
224000,66.45,True,False
225000,73.49,True,False
226000,59.26,True,False
227000,86.72,True,False
228000,65.16,True,False
229000,83.61,True,False
230000,29.42,True,False
231000,36.25,True,False
232000,85.3,True,False
233000,80.78,True,False
234000,108.9,True,False
235000,44.75,True,False
236000,87.57,True,False
237000,73.31,True,False
238000,108.89,True,False
239000,100.91,True,False
240000,80.74,True,False
241000,48.68,True,False
242000,88.59,True,False
243000,74.8,True,False
244000,103.38,True,False
245000,81.5,True,False
246000,44.52,True,False
247000,59.99,True,False
248000,51.42,True,False
249000,43.82,True,False
250000,94.14,True,False
251000,88.77,True,False
252000,101.89,True,False
253000,71.67,True,False
254000,49.67,True,False
255000,83.61,True,False
256000,92.04,True,False
257000,15.36,True,False
258000,89.62,True,False
259000,86.12,True,False
260000,106.7,True,False
261000,46.59,True,False
262000,57.32,True,False
263000,40.81,True,False
264000,64.31,True,False
265000,45.66,True,False
266000,124.66,True,False
267000,81.2,True,False
268000,80.19,True,False
269000,102.92,True,False
270000,29.04,True,False
271000,67.29,True,False
272000,71.64,True,False
273000,121.81,True,False
274000,69.93,True,False
275000,53.89,True,False
276000,17.42,True,False
277000,72.32,True,False
278000,73.8,True,False
279000,54.52,True,False
280000,105.92,True,False
281000,95.84,True,False
282000,75.16,True,False
283000,67.62,True,False
284000,83.94,True,False
285000,109.89,True,False
286000,105.81,True,False
287000,79.01,True,False
288000,45.1,True,False
289000,47.88,True,False
290000,93.73,True,False
291000,85.78,True,False
292000,86.01,True,False
293000,24.94,True,False
294000,84.48,True,False
295000,67.81,True,False
296000,65.06,True,False
297000,90.97,True,False
298000,44.64,True,False
299000,78.96,True,False
300000,83.64,True,False
301000,67.08,True,False
302000,31.67,True,False
303000,68.19,True,False
304000,53.44,True,False
305000,77.91,True,False
306000,66.95,True,False
307000,80.45,True,False
308000,29.26,True,False
309000,17.44,True,False
310000,30.72,True,False
311000,69.32,True,False
312000,85.79,True,False
313000,86.21,True,False
314000,35.44,True,False
315000,72.1,True,False
316000,23.59,True,False
317000,66.48,True,False
318000,69.27,True,False
319000,17.37,True,False
320000,72.36,True,False
321000,87.22,True,False
322000,92.49,True,False
323000,81.84,True,False
324000,96.48,True,False
325000,15.97,True,False
326000,41.59,True,False
327000,52.62,True,False
328000,95.78,True,False
329000,65.95,True,False
330000,87.72,True,False
331000,81.64,True,False
332000,21.08,True,False
333000,45.69,True,False
334000,112.5,True,False
335000,91.66,True,False
336000,49.66,True,False
337000,79.37,True,False
338000,89.66,True,False
339000,82.34,True,False
340000,67.11,True,False
341000,66.76,True,False
342000,88.93,True,False
343000,89.89,True,False
344000,63.39,True,False
345000,63.11,True,False
346000,96.49,True,False
347000,92.95,True,False
348000,82.1,True,False
349000,74.36,True,False
350000,53.15,True,False
351000,111.99,True,False
352000,36.35,True,False
353000,80.95,True,False
354000,44.59,True,False
355000,81.65,True,False
356000,82.41,True,False
357000,67.94,True,False
358000,78.7,True,False
359000,27.31,True,False
360000,44.71,True,False
361000,86.23,True,False
362000,101.67,True,False
363000,86.41,True,False
364000,98.81,True,False
365000,30.03,True,False
366000,93.4,True,False
367000,116.04,True,False
368000,106.84,True,False
369000,63.39,True,False
370000,83.69,True,False
371000,44.0,True,False
372000,106.13,True,False
373000,43.9,True,False
374000,92.66,True,False
375000,111.16,True,False
376000,56.93,True,False
377000,89.68,True,False
378000,93.37,True,False
379000,78.35,True,False
380000,73.17,True,False
381000,60.32,True,False
382000,62.57,True,False
383000,87.11,True,False
384000,64.95,True,False
385000,109.81,True,False
386000,51.77,True,False
387000,78.13,True,False
388000,70.78,True,False
389000,66.81,True,False
390000,37.09,True,False
391000,114.86,True,False
392000,59.36,True,False
393000,106.16,True,False
394000,58.66,True,False
395000,86.54,True,False
396000,80.19,True,False
397000,104.58,True,False
398000,88.8,True,False
399000,63.24,True,False
400000,76.93,True,False
401000,61.09,True,False
402000,100.68,True,False
403000,80.07,True,False
404000,65.38,True,False
405000,71.46,True,False
406000,42.77,True,False
407000,46.81,True,False
408000,46.2,True,False
409000,73.76,True,False
410000,31.35,True,False
411000,32.71,True,False
412000,12.27,True,False
413000,61.95,True,False
414000,94.36,True,False
415000,89.05,True,False
416000,87.2,True,False
417000,94.33,True,False
418000,91.04,True,False
419000,63.4,True,False
420000,75.59,True,False
421000,29.15,True,False
422000,85.79,True,False
423000,71.01,True,False
424000,46.33,True,False
425000,69.35,True,False
426000,51.02,True,False
427000,44.78,True,False
428000,13.31,True,False
429000,79.87,True,False
430000,79.62,True,False
431000,46.87,True,False
432000,7.94,True,False
433000,95.88,True,False
434000,81.63,True,False
435000,15.41,True,False
436000,69.84,True,False
437000,63.51,True,False
438000,76.06,True,False
439000,33.82,True,False
440000,79.6,True,False
441000,57.67,True,False
442000,91.82,True,False
443000,22.38,True,False
444000,12.76,True,False
445000,90.09,True,False
446000,55.71,True,False
447000,80.66,True,False
448000,39.23,True,False
449000,54.34,True,False
450000,34.55,True,False
451000,30.83,True,False
452000,51.55,True,False
453000,44.5,True,False
454000,33.7,True,False
455000,75.0,True,False
456000,101.16,True,False
457000,96.0,True,False
458000,18.17,True,False
459000,65.8,True,False
460000,20.07,True,False
461000,59.58,True,False
462000,47.11,True,False
463000,17.17,True,False
464000,60.09,True,False
465000,20.63,True,False
466000,69.79,True,False
467000,22.12,True,False
468000,91.01,True,False
469000,86.61,True,False
470000,97.33,True,False
471000,67.17,True,False
472000,30.82,True,False
473000,92.93,True,False
474000,64.48,True,False
475000,91.26,True,False
476000,64.45,True,False
477000,81.72,True,False
478000,13.76,True,False
479000,89.98,True,False
480000,80.67,True,False
481000,92.52,True,False
482000,13.99,True,False
483000,29.7,True,False
484000,43.27,True,False
485000,77.15,True,False
486000,98.95,True,False
487000,90.75,True,False
488000,59.46,True,False
489000,16.27,True,False
490000,86.66,True,False
491000,59.31,True,False
492000,57.52,True,False
493000,13.28,True,False
494000,125.13,True,False
495000,67.24,True,False
496000,94.25,True,False
497000,22.41,True,False
498000,110.86,True,False
499000,30.26,True,False
500000,87.38,True,False
501000,80.93,True,False
502000,94.94,True,False
503000,99.19,True,False
504000,59.62,True,False
505000,63.59,True,False
506000,92.53,True,False
507000,95.23,True,False
508000,63.08,True,False
509000,69.91,True,False
510000,92.35,True,False
511000,66.88,True,False
512000,105.97,True,False
513000,119.8,True,False
514000,44.93,True,False
515000,59.36,True,False
516000,24.12,True,False
517000,104.72,True,False
518000,110.83,True,False
519000,42.2,True,False
520000,87.1,True,False
521000,44.57,True,False
522000,66.6,True,False
523000,123.52,True,False
524000,61.2,True,False
525000,60.76,True,False
526000,95.04,True,False
527000,74.71,True,False
528000,92.18,True,False
529000,73.97,True,False
530000,51.78,True,False
531000,62.57,True,False
532000,54.09,True,False
533000,34.78,True,False
534000,117.17,True,False
535000,61.2,True,False
536000,95.93,True,False
537000,70.33,True,False
538000,18.2,True,False
539000,84.03,True,False
540000,48.08,True,False
541000,44.58,True,False
542000,86.68,True,False
543000,74.77,True,False
544000,90.37,True,False
545000,88.38,True,False
546000,86.52,True,False
547000,66.75,True,False
548000,80.85,True,False
549000,103.05,True,False
550000,58.01,True,False
551000,94.19,True,False
552000,102.58,True,False
553000,66.65,True,False
554000,56.41,True,False
555000,89.03,True,False
556000,66.26,True,False
557000,27.71,True,False
558000,94.24,True,False
559000,64.83,True,False
560000,73.3,True,False
561000,13.91,True,False
562000,93.38,True,False
563000,78.97,True,False
564000,78.61,True,False
565000,66.13,True,False
566000,96.11,True,False
567000,66.46,True,False
568000,64.88,True,False
569000,65.71,True,False
570000,51.61,True,False
571000,101.02,True,False
572000,64.04,True,False
573000,46.78,True,False
574000,39.8,True,False
575000,69.78,True,False
576000,29.74,True,False
577000,22.46,True,False
578000,66.02,True,False
579000,51.92,True,False
580000,49.41,True,False
581000,81.79,True,False
582000,88.84,True,False
583000,111.44,True,False
584000,97.35,True,False
585000,70.0,True,False
586000,79.1,True,False
587000,48.31,True,False
588000,82.02,True,False
589000,111.62,True,False
590000,81.39,True,False
591000,94.57,True,False
592000,111.4,True,False
593000,84.1,True,False
594000,78.87,True,False
595000,64.03,True,False
596000,78.66,True,False
597000,45.89,True,False
598000,29.42,True,False
599000,64.51,True,False
600000,95.94,True,False
601000,82.01,True,False
602000,94.28,True,False
603000,114.67,True,False
604000,100.57,True,False
605000,70.39,True,False
606000,70.5,True,False
607000,81.54,True,False
608000,66.6,True,False
609000,86.72,True,False
610000,102.78,True,False
611000,104.77,True,False
612000,88.79,True,False
613000,18.4,True,False
614000,32.67,True,False
615000,91.46,True,False
616000,18.34,True,False
617000,67.13,True,False
618000,116.66,True,False
619000,78.0,True,False
620000,17.19,True,False
621000,85.55,True,False
622000,28.11,True,False
623000,26.86,True,False
624000,81.37,True,False
625000,85.73,True,False
626000,95.14,True,False
627000,86.5,True,False
628000,116.27,True,False
629000,12.6,True,False
630000,95.89,True,False
631000,74.46,True,False
632000,50.82,True,False
633000,102.44,True,False
634000,63.92,True,False
635000,19.57,True,False
636000,99.57,True,False
637000,56.96,True,False
638000,53.6,True,False
639000,61.73,True,False
640000,82.36,True,False
641000,86.3,True,False
642000,77.21,True,False
643000,78.87,True,False
644000,76.54,True,False
645000,17.83,True,False
646000,74.45,True,False
647000,88.07,True,False
648000,98.66,True,False
649000,88.86,True,False
650000,65.62,True,False
651000,62.33,True,False
652000,64.67,True,False
653000,45.29,True,False
654000,62.07,True,False
655000,74.86,True,False
656000,111.26,True,False
657000,70.31,True,False
658000,29.61,True,False
659000,40.59,True,False
660000,64.38,True,False
661000,65.19,True,False
662000,113.9,True,False
663000,70.81,True,False
664000,85.24,True,False
665000,65.96,True,False
666000,25.4,True,False
667000,82.87,True,False
668000,47.4,True,False
669000,43.88,True,False
670000,126.45,True,False
671000,59.59,True,False
672000,23.82,True,False
673000,111.5,True,False
674000,66.86,True,False
675000,52.81,True,False
676000,36.94,True,False
677000,100.47,True,False
678000,54.16,True,False
679000,67.13,True,False
680000,48.52,True,False
681000,84.17,True,False
682000,75.08,True,False
683000,89.73,True,False
684000,54.13,True,False
685000,40.3,True,False
686000,108.14,True,False
687000,121.93,True,False
688000,69.63,True,False
689000,67.76,True,False
690000,36.09,True,False
691000,97.55,True,False
692000,95.42,True,False
693000,20.49,True,False
694000,43.51,True,False
695000,28.09,True,False
696000,37.05,True,False
697000,80.89,True,False
698000,98.22,True,False
699000,88.29,True,False
700000,92.45,True,False
701000,88.07,True,False
702000,101.36,True,False
703000,93.88,True,False
704000,66.8,True,False
705000,32.02,True,False
706000,69.65,True,False
707000,89.36,True,False
708000,90.6,True,False
709000,41.56,True,False
710000,25.47,True,False
711000,44.29,True,False
712000,86.7,True,False
713000,17.73,True,False
714000,70.78,True,False
715000,80.28,True,False
716000,85.32,True,False
717000,34.02,True,False
718000,82.47,True,False
719000,93.37,True,False
720000,42.13,True,False
721000,100.11,True,False
722000,89.85,True,False
723000,80.76,True,False
724000,26.99,True,False
725000,47.42,True,False
726000,85.7,True,False
727000,111.75,True,False
728000,91.26,True,False
729000,92.0,True,False
730000,90.45,True,False
731000,54.54,True,False
732000,74.11,True,False
733000,88.75,True,False
734000,64.59,True,False
735000,31.24,True,False
736000,55.81,True,False
737000,105.7,True,False
738000,83.7,True,False
739000,93.81,True,False
740000,56.31,True,False
741000,36.13,True,False
742000,117.33,True,False
743000,15.49,True,False
744000,106.93,True,False
745000,83.05,True,False
746000,12.62,True,False
747000,75.34,True,False
748000,44.55,True,False
749000,49.88,True,False
750000,37.6,True,False
751000,103.31,True,False
752000,98.38,True,False
753000,83.74,True,False
754000,51.39,True,False
755000,43.52,True,False
756000,74.71,True,False
757000,15.85,True,False
758000,76.04,True,False
759000,62.42,True,False
760000,111.47,True,False
761000,82.49,True,False
762000,30.82,True,False
763000,116.4,True,False
764000,90.83,True,False
765000,62.68,True,False
766000,54.6,True,False
767000,104.27,True,False
768000,39.37,True,False
769000,76.31,True,False
770000,79.78,True,False
771000,94.67,True,False
772000,81.19,True,False
773000,14.78,True,False
774000,20.68,True,False
775000,89.14,True,False
776000,80.96,True,False
777000,101.39,True,False
778000,22.29,True,False
779000,80.88,True,False
780000,23.57,True,False
781000,25.35,True,False
782000,57.56,True,False
783000,99.49,True,False
784000,51.81,True,False
785000,90.41,True,False
786000,64.83,True,False
787000,38.74,True,False
788000,79.41,True,False
789000,90.96,True,False
790000,40.79,True,False
791000,52.01,True,False
792000,52.19,True,False
793000,67.45,True,False
794000,18.34,True,False
795000,49.09,True,False
796000,75.75,True,False
797000,111.8,True,False
798000,56.9,True,False
799000,69.19,True,False
800000,100.47,True,False
801000,76.67,True,False
802000,59.15,True,False
803000,73.7,True,False
804000,100.71,True,False
805000,95.33,True,False
806000,77.47,True,False
807000,73.42,True,False
808000,74.35,True,False
809000,90.03,True,False
810000,90.95,True,False
811000,54.62,True,False
812000,53.08,True,False
813000,16.19,True,False
814000,77.58,True,False
815000,16.42,True,False
816000,100.14,True,False
817000,76.95,True,False
818000,14.56,True,False
819000,73.71,True,False
820000,94.81,True,False
821000,64.97,True,False
822000,96.11,True,False
823000,95.34,True,False
824000,85.85,True,False
825000,28.02,True,False
826000,45.6,True,False
827000,90.69,True,False
828000,78.52,True,False
829000,98.91,True,False
830000,51.63,True,False
831000,56.97,True,False
832000,13.87,True,False
833000,12.98,True,False
834000,77.16,True,False
835000,115.23,True,False
836000,76.76,True,False
837000,51.83,True,False
838000,44.3,True,False
839000,33.52,True,False
840000,90.56,True,False
841000,65.29,True,False
842000,43.26,True,False
843000,97.21,True,False
844000,29.81,True,False
845000,105.05,True,False
846000,104.31,True,False
847000,29.98,True,False
848000,78.64,True,False
849000,21.48,True,False
850000,96.29,True,False
851000,65.94,True,False
852000,74.01,True,False
853000,103.99,True,False
854000,44.7,True,False
855000,71.63,True,False
856000,58.8,True,False
857000,116.46,True,False
858000,64.9,True,False
859000,90.35,True,False
860000,65.97,True,False
861000,28.55,True,False
862000,23.1,True,False
863000,55.76,True,False
864000,30.87,True,False
865000,82.71,True,False
866000,45.33,True,False
867000,93.23,True,False
868000,98.94,True,False
869000,96.89,True,False
870000,55.3,True,False
871000,82.89,True,False
872000,106.85,True,False
873000,64.33,True,False
874000,59.28,True,False
875000,99.22,True,False
876000,81.75,True,False
877000,86.48,True,False
878000,81.62,True,False
879000,52.02,True,False
880000,85.3,True,False
881000,59.3,True,False
882000,55.69,True,False
883000,106.58,True,False
884000,49.09,True,False
885000,91.6,True,False
886000,97.16,True,False
887000,121.17,True,False
888000,78.29,True,False
889000,52.1,True,False
890000,59.71,True,False
891000,69.81,True,False
892000,18.95,True,False
893000,16.13,True,False
894000,14.48,True,False
895000,52.53,True,False
896000,55.91,True,False
897000,75.27,True,False
898000,40.39,True,False
899000,69.87,True,False
900000,79.86,True,False
901000,82.71,True,False
902000,116.89,True,False
903000,29.64,True,False
904000,80.83,True,False
905000,88.23,True,False
906000,37.1,True,False
907000,106.4,True,False
908000,68.92,True,False
909000,94.78,True,False
910000,83.63,True,False
911000,116.65,True,False
912000,51.03,True,False
913000,19.26,True,False
914000,69.09,True,False
915000,10.98,True,False
916000,18.29,True,False
917000,83.19,True,False
918000,22.25,True,False
919000,85.62,True,False
920000,29.05,True,False
921000,66.76,True,False
922000,85.5,True,False
923000,63.0,True,False
924000,58.77,True,False
925000,34.45,True,False
926000,45.18,True,False
927000,82.88,True,False
928000,39.49,True,False
929000,90.78,True,False
930000,29.18,True,False
931000,41.75,True,False
932000,64.65,True,False
933000,58.38,True,False
934000,71.94,True,False
935000,21.83,True,False
936000,51.49,True,False
937000,107.05,True,False
938000,91.11,True,False
939000,44.57,True,False
940000,99.74,True,False
941000,82.35,True,False
942000,17.31,True,False
943000,34.01,True,False
944000,14.0,True,False
945000,59.41,True,False
946000,69.29,True,False
947000,14.89,True,False
948000,97.7,True,False
949000,112.08,True,False
950000,80.27,True,False
951000,94.47,True,False
952000,66.31,True,False
953000,39.61,True,False
954000,100.12,True,False
955000,59.14,True,False
956000,80.02,True,False
957000,51.9,True,False
958000,105.89,True,False
959000,59.88,True,False
960000,66.67,True,False
961000,100.83,True,False
962000,95.65,True,False
963000,113.19,True,False
964000,83.61,True,False
965000,15.49,True,False
966000,86.4,True,False
967000,86.36,True,False
968000,86.25,True,False
969000,88.49,True,False
970000,78.12,True,False
971000,34.95,True,False
972000,16.75,True,False
973000,49.48,True,False
974000,85.66,True,False
975000,41.69,True,False
976000,81.75,True,False
977000,103.18,True,False
978000,23.09,True,False
979000,75.66,True,False
980000,92.43,True,False
981000,65.33,True,False
982000,78.93,True,False
983000,85.76,True,False
984000,75.72,True,False
985000,99.7,True,False
986000,44.29,True,False
987000,73.16,True,False
988000,57.55,True,False
989000,28.55,True,False
990000,67.21,True,False
991000,105.15,True,False
992000,93.61,True,False
993000,102.82,True,False
994000,58.44,True,False
995000,59.97,True,False
996000,94.3,True,False
997000,51.91,True,False
998000,30.37,True,False
999000,43.22,True,False
1000000,84.37,True,False
1001000,90.71,True,False
1002000,92.0,True,False
1003000,60.35,True,False
1004000,91.41,True,False
1005000,90.81,True,False
1006000,74.77,True,False
1007000,43.22,True,False
1008000,35.85,True,False
1009000,81.41,True,False
1010000,91.74,True,False
1011000,58.96,True,False
1012000,93.26,True,False
1013000,95.08,True,False
1014000,71.1,True,False
1015000,84.31,True,False
1016000,25.32,True,False
1017000,81.43,True,False
1018000,88.43,True,False
1019000,101.71,True,False
1020000,77.38,True,False
1021000,27.06,True,False
1022000,81.93,True,False
1023000,29.74,True,False
1024000,31.5,True,False
1025000,46.83,True,False
1026000,60.83,True,False
1027000,85.63,True,False
1028000,82.05,True,False
1029000,103.7,True,False
1030000,70.0,True,False
1031000,112.73,True,False
1032000,60.11,True,False
1033000,54.39,True,False
1034000,50.28,True,False
1035000,91.44,True,False
1036000,50.41,True,False
1037000,38.06,True,False
1038000,17.7,True,False
1039000,50.25,True,False
1040000,46.76,True,False
1041000,96.8,True,False
1042000,96.77,True,False
1043000,37.57,True,False
1044000,97.64,True,False
1045000,41.7,True,False
1046000,121.99,True,False
1047000,15.08,True,False
1048000,54.27,True,False
1049000,19.37,True,False
1050000,81.52,True,False
1051000,91.94,True,False
1052000,62.51,True,False
1053000,84.12,True,False
1054000,69.48,True,False
1055000,97.46,True,False
1056000,85.91,True,False
1057000,62.28,True,False
1058000,91.95,True,False
1059000,58.8,True,False
1060000,96.6,True,False
1061000,105.26,True,False
1062000,63.28,True,False
1063000,90.84,True,False
1064000,65.0,True,False
1065000,101.64,True,False
1066000,66.33,True,False
1067000,87.45,True,False
1068000,10.16,True,False
1069000,72.76,True,False
1070000,110.83,True,False
1071000,50.1,True,False
1072000,23.97,True,False
1073000,85.03,True,False
1074000,53.63,True,False
1075000,27.2,True,False
1076000,14.01,True,False
1077000,54.24,True,False
1078000,73.71,True,False
1079000,67.5,True,False
1080000,59.95,True,False
1081000,101.04,True,False
1082000,54.53,True,False
1083000,73.9,True,False
1084000,84.36,True,False
1085000,62.31,True,False
1086000,22.45,True,False
1087000,82.35,True,False
1088000,62.39,True,False
1089000,61.22,True,False
1090000,119.85,True,False
1091000,72.5,True,False
1092000,82.75,True,False
1093000,49.57,True,False
1094000,18.06,True,False
1095000,75.0,True,False
1096000,60.98,True,False
1097000,11.66,True,False
1098000,81.14,True,False
1099000,59.38,True,False
1100000,88.53,True,False
1101000,12.94,True,False
1102000,65.18,True,False
1103000,82.89,True,False
1104000,60.28,True,False
1105000,65.4,True,False
1106000,59.02,True,False
1107000,54.88,True,False
1108000,32.55,True,False
1109000,56.49,True,False
1110000,91.53,True,False
1111000,86.88,True,False
1112000,111.3,True,False
1113000,18.22,True,False
1114000,111.03,True,False
1115000,60.29,True,False
1116000,82.6,True,False
1117000,72.4,True,False
1118000,78.36,True,False
1119000,94.47,True,False
1120000,71.2,True,False
1121000,61.46,True,False
1122000,77.39,True,False
1123000,64.05,True,False
1124000,64.23,True,False
1125000,11.72,True,False
1126000,46.22,True,False
1127000,92.13,True,False
1128000,23.65,True,False
1129000,77.36,True,False
1130000,85.33,True,False
1131000,100.13,True,False
1132000,81.4,True,False
1133000,103.67,True,False
1134000,96.42,True,False
1135000,108.24,True,False
1136000,107.98,True,False
1137000,91.66,True,False
1138000,116.78,True,False
1139000,85.37,True,False
1140000,71.62,True,False
1141000,112.5,True,False
1142000,57.0,True,False
1143000,123.56,True,False
1144000,52.07,True,False
1145000,22.37,True,False
1146000,93.6,True,False
1147000,103.14,True,False
1148000,85.02,True,False
1149000,83.6,True,False
1150000,25.28,True,False
1151000,55.31,True,False
1152000,20.02,True,False
1153000,33.41,True,False
1154000,97.25,True,False
1155000,54.51,True,False
1156000,65.28,True,False
1157000,77.07,True,False
1158000,39.97,True,False
1159000,82.58,True,False
1160000,103.89,True,False
1161000,93.75,True,False
1162000,23.19,True,False
1163000,53.96,True,False
1164000,87.93,True,False
1165000,64.81,True,False
1166000,50.57,True,False
1167000,60.01,True,False
1168000,86.15,True,False
1169000,90.05,True,False
1170000,4.12,True,False
1171000,61.24,True,False
1172000,11.8,True,False
1173000,60.56,True,False
1174000,36.87,True,False
1175000,94.47,True,False
1176000,54.9,True,False
1177000,87.98,True,False
1178000,13.9,True,False
1179000,64.29,True,False
1180000,48.6,True,False
1181000,69.84,True,False
1182000,80.85,True,False
1183000,65.8,True,False
1184000,92.1,True,False
1185000,104.53,True,False
1186000,65.31,True,False
1187000,80.39,True,False
1188000,77.25,True,False
1189000,32.29,True,False
1190000,53.33,True,False
1191000,44.74,True,False
1192000,59.72,True,False
1193000,52.49,True,False
1194000,81.35,True,False
1195000,86.26,True,False
1196000,48.94,True,False
1197000,81.5,True,False
1198000,43.11,True,False
1199000,75.1,True,False
1200000,37.67,True,False
1201000,38.59,True,False
1202000,37.47,True,False
1203000,35.56,True,False
1204000,30.19,True,False
1205000,87.09,True,False
1206000,13.78,True,False
1207000,27.16,True,False
1208000,92.9,True,False
1209000,64.28,True,False
1210000,65.14,True,False
1211000,10.33,True,False
1212000,72.2,True,False
1213000,64.88,True,False
1214000,85.55,True,False
1215000,93.3,True,False
1216000,36.26,True,False
1217000,45.86,True,False
1218000,34.78,True,False
1219000,52.48,True,False
1220000,83.17,True,False
1221000,50.42,True,False
1222000,104.53,True,False
