CumEpisodes,AvgReward,SuccessRate,ElimRate
200,59.77,83.5,43.0
400,66.33,97.0,36.0
600,64.92,96.0,37.5
800,68.03,99.5,26.5
1000,63.9,99.0,13.5
1200,64.55,99.5,14.5
1400,67.5,99.5,17.5
1600,63.1,99.5,19.5
1800,67.14,99.5,15.5
2000,67.85,99.5,16.0
2200,62.89,100.0,17.0
2400,64.83,99.0,20.0
2600,67.96,99.5,14.0
2800,68.86,99.5,22.5
3000,66.38,99.0,23.5
3200,68.4,100.0,23.5
3400,69.15,100.0,26.5
3600,68.19,100.0,29.0
3800,71.23,100.0,35.5
4000,63.98,100.0,31.5
4200,63.97,100.0,30.5
4400,67.6,100.0,36.5
4600,72.32,99.5,32.5
4800,69.09,100.0,32.5
5000,69.44,100.0,36.0
5200,71.86,100.0,46.5
5400,69.1,99.5,43.5
5600,68.97,100.0,39.0
5800,68.06,100.0,40.0
6000,70.75,100.0,39.5
6200,68.12,100.0,39.5
6400,70.75,100.0,44.0
6600,64.87,100.0,35.5
6800,72.27,99.5,47.0
7000,66.05,99.5,35.0
7200,72.91,100.0,53.0
7400,67.95,100.0,50.5
7600,69.94,100.0,50.5
7800,68.29,100.0,67.5
8000,74.26,100.0,79.5
8200,76.11,100.0,84.0
8400,73.42,100.0,84.5
8600,67.0,100.0,75.0
8800,73.76,100.0,86.0
9000,72.4,100.0,88.0
9200,79.77,100.0,95.0
9400,70.59,100.0,87.0
9600,74.88,100.0,94.0
9800,73.87,100.0,90.0
10000,77.12,100.0,96.5
10200,74.32,100.0,96.0
10400,72.95,100.0,99.0
10600,76.0,100.0,98.5
10800,74.21,100.0,100.0
11000,73.74,100.0,100.0
11200,76.26,100.0,100.0
11400,75.31,100.0,98.5
11600,77.18,100.0,100.0
11800,73.1,100.0,100.0
12000,73.88,100.0,100.0
12200,74.96,100.0,99.0
12400,77.18,99.5,100.0
12600,72.52,100.0,99.0
12800,76.67,100.0,99.5
13000,73.21,100.0,99.5
13200,74.49,100.0,98.5
13400,74.1,100.0,98.5
13600,70.95,100.0,99.5
13800,75.68,100.0,98.5
14000,75.17,100.0,99.5
14200,74.26,100.0,99.0
14400,73.12,100.0,99.5
14600,75.66,100.0,99.5
14800,76.15,100.0,99.5
15000,75.86,100.0,99.5
15200,75.98,100.0,99.5
15400,77.39,100.0,99.5
15600,71.91,100.0,99.0
15800,77.11,100.0,99.0
16000,75.09,100.0,99.5
16200,74.37,100.0,100.0
16400,73.99,100.0,99.0
16600,76.57,100.0,98.0
16800,74.4,100.0,99.0
17000,74.9,100.0,98.5
17200,76.18,100.0,100.0
17400,77.57,100.0,99.5
17600,75.15,100.0,99.5
17800,76.27,100.0,99.0
18000,73.06,100.0,98.5
18200,73.09,100.0,98.5
18400,74.81,100.0,99.0
18600,80.28,100.0,100.0
18800,76.13,100.0,99.5
19000,72.76,100.0,99.5
19200,74.33,100.0,99.5
19400,74.61,100.0,99.5
19600,77.28,100.0,100.0
19800,73.5,100.0,100.0
20000,76.54,100.0,100.0
20200,74.39,100.0,99.5
20400,73.34,100.0,100.0
20600,77.29,100.0,100.0
20800,78.3,100.0,100.0
21000,73.26,100.0,100.0
21200,76.64,100.0,99.5
21400,74.63,100.0,100.0
21600,70.02,100.0,100.0
21800,76.58,100.0,99.5
22000,75.63,100.0,100.0
22200,73.87,100.0,100.0
22400,78.05,100.0,99.5
22600,76.82,100.0,99.5
22800,74.61,100.0,100.0
23000,73.28,100.0,100.0
23200,75.13,100.0,99.0
23400,73.97,100.0,100.0
23600,80.39,100.0,99.5
23800,73.82,100.0,100.0
24000,71.82,100.0,99.0
24200,75.64,100.0,100.0
24400,73.07,100.0,98.0
24600,76.27,100.0,98.5
24800,72.34,100.0,99.5
25000,77.88,100.0,99.5
25200,75.31,100.0,99.5
25400,75.35,100.0,100.0
25600,75.02,100.0,100.0
25800,81.15,100.0,100.0
26000,76.1,100.0,100.0
26200,72.51,100.0,100.0
26400,74.44,100.0,99.5
26600,77.02,100.0,100.0
26800,74.39,100.0,100.0
27000,71.68,100.0,99.0
27200,72.46,100.0,100.0
27400,73.3,100.0,100.0
27600,75.32,100.0,100.0
27800,73.75,100.0,99.5
28000,74.29,100.0,100.0
28200,72.53,100.0,100.0
28400,75.71,100.0,100.0
28600,75.11,100.0,100.0
28800,75.3,100.0,100.0
29000,79.54,100.0,100.0
29200,75.15,100.0,100.0
29400,76.7,100.0,100.0
29600,74.26,100.0,100.0
29800,75.0,100.0,100.0
30000,77.29,100.0,100.0
30200,73.97,100.0,100.0
30400,76.79,100.0,100.0
30600,71.92,100.0,100.0
30800,77.36,100.0,99.5
31000,75.81,100.0,100.0
31200,76.27,100.0,100.0
31400,76.45,100.0,99.5
31600,75.81,100.0,100.0
31800,76.09,100.0,100.0
32000,73.95,100.0,100.0
32200,76.44,100.0,100.0
32400,75.76,100.0,100.0
32600,75.87,100.0,100.0
32800,74.35,100.0,100.0
33000,77.16,100.0,99.5
33200,75.71,100.0,99.5
33400,77.84,100.0,99.5
33600,72.33,100.0,100.0
33800,77.18,100.0,99.0
34000,75.9,100.0,100.0
34200,78.53,100.0,100.0
34400,74.49,100.0,99.0
34600,75.69,100.0,100.0
34800,74.9,100.0,100.0
35000,77.97,100.0,100.0
35200,75.14,100.0,100.0
35400,75.75,100.0,100.0
35600,76.58,100.0,100.0
35800,76.12,100.0,100.0
36000,77.03,100.0,100.0
36200,74.96,100.0,100.0
36400,75.12,100.0,100.0
36600,76.98,100.0,100.0
36800,74.24,100.0,100.0
37000,75.25,100.0,99.5
37200,76.18,100.0,99.5
37400,78.66,100.0,100.0
37600,74.41,100.0,100.0
37800,78.28,100.0,100.0
38000,76.41,100.0,100.0
38200,73.97,100.0,99.5
38400,73.81,100.0,99.5
38600,75.32,100.0,100.0
38800,74.71,100.0,100.0
39000,75.11,100.0,99.5
39200,69.89,100.0,100.0
39400,76.21,100.0,100.0
39600,79.15,100.0,99.5
39800,78.72,100.0,99.0
40000,71.89,100.0,99.0
40200,74.37,100.0,99.0
40400,74.78,100.0,100.0
40600,75.38,100.0,99.5
40800,75.57,100.0,99.0
41000,73.54,100.0,100.0
41200,76.57,100.0,99.5
41400,73.73,100.0,99.5
41600,76.34,100.0,100.0
41800,76.92,100.0,100.0
42000,76.51,100.0,99.5
42200,74.19,100.0,100.0
42400,71.89,100.0,100.0
42600,75.06,100.0,100.0
42800,77.67,100.0,100.0
43000,75.64,100.0,99.5
43200,73.64,100.0,99.5
43400,76.41,100.0,100.0
43600,76.71,100.0,100.0
43800,76.68,100.0,100.0
44000,72.5,100.0,100.0
44200,70.61,100.0,100.0
44400,78.72,100.0,100.0
44600,73.04,100.0,100.0
44800,76.69,100.0,100.0
45000,72.48,100.0,100.0
45200,76.35,100.0,100.0
45400,74.62,100.0,100.0
45600,74.28,100.0,100.0
45800,78.09,100.0,100.0
46000,77.22,100.0,100.0
46200,75.34,100.0,99.5
46400,76.72,100.0,99.5
46600,73.02,100.0,100.0
46800,73.08,100.0,100.0
47000,74.87,100.0,100.0
47200,79.21,100.0,99.5
47400,75.21,100.0,99.5
47600,74.59,100.0,99.0
47800,75.46,100.0,100.0
48000,76.36,100.0,100.0
48200,72.89,100.0,99.0
48400,76.3,100.0,100.0
48600,74.23,100.0,99.5
48800,76.4,100.0,100.0
49000,75.46,100.0,100.0
49200,74.16,100.0,100.0
49400,75.77,100.0,100.0
49600,79.47,100.0,99.5
49800,77.58,100.0,100.0
50000,74.88,100.0,100.0
50200,79.03,100.0,100.0
50400,74.3,100.0,99.5
50600,72.05,100.0,99.5
50800,76.83,100.0,99.5
51000,72.81,100.0,100.0
51200,75.59,100.0,100.0
51400,78.79,100.0,99.5
51600,78.56,100.0,100.0
51800,75.48,100.0,100.0
52000,77.8,100.0,100.0
52200,76.7,100.0,99.5
52400,73.79,100.0,100.0
52600,77.51,100.0,100.0
52800,73.97,100.0,100.0
53000,74.15,100.0,100.0
53200,75.67,100.0,100.0
53400,74.7,100.0,100.0
53600,75.16,100.0,100.0
