CumEpisodes,Reward,Success,Elimination
200,52.31,True,False
400,97.65,True,False
600,41.77,True,False
800,40.98,True,False
1000,68.99,True,False
1200,66.5,True,True
1400,83.53,True,False
1600,14.59,True,False
1800,106.4,True,True
2000,89.28,True,False
2200,121.22,True,True
2400,76.56,True,False
2600,69.07,True,False
2800,42.35,True,False
3000,81.57,True,True
3200,87.02,True,True
3400,80.71,True,True
3600,48.13,True,False
3800,91.79,True,True
4000,32.95,True,False
4200,117.45,True,True
4400,89.57,True,True
4600,40.54,True,False
4800,23.93,True,False
5000,35.49,True,False
5200,83.32,True,True
5400,61.35,True,True
5600,39.35,True,False
5800,64.66,True,False
6000,58.86,True,False
6200,71.67,True,True
6400,54.77,True,False
6600,92.53,True,True
6800,88.26,True,False
7000,82.25,True,True
7200,36.59,True,False
7400,46.63,True,False
7600,61.86,True,True
7800,47.25,True,True
8000,108.6,True,True
8200,119.37,True,True
8400,64.14,True,True
8600,93.49,True,True
8800,88.82,True,True
9000,38.96,True,False
9200,39.33,True,True
9400,88.65,True,True
9600,98.8,True,True
9800,99.21,True,True
10000,91.43,True,True
10200,101.39,True,True
10400,101.24,True,True
10600,44.9,True,True
10800,80.96,True,True
11000,91.72,True,True
11200,69.82,True,True
11400,113.95,True,True
11600,78.24,True,True
11800,86.44,True,True
12000,102.43,True,True
12200,86.11,True,True
12400,105.59,True,True
12600,74.54,True,True
12800,74.63,True,True
13000,118.79,True,True
13200,115.8,True,True
13400,46.82,True,True
13600,117.97,True,True
13800,71.87,True,True
14000,18.54,True,True
14200,99.33,True,True
14400,94.24,True,True
14600,53.7,True,True
14800,82.35,True,True
15000,99.8,True,True
15200,70.47,True,True
15400,39.67,True,True
15600,98.06,True,True
15800,67.74,True,True
16000,56.69,True,True
16200,90.64,True,True
16400,77.92,True,True
16600,79.64,True,True
16800,109.44,True,True
17000,60.5,True,True
17200,106.47,True,True
17400,37.71,True,True
17600,60.55,True,True
17800,87.43,True,True
18000,115.41,True,True
18200,100.37,True,True
18400,24.89,True,True
18600,49.83,True,True
18800,46.84,True,True
19000,108.43,True,True
19200,81.41,True,True
19400,20.53,True,True
19600,50.79,True,True
19800,59.94,True,True
20000,83.0,True,True
20200,60.2,True,True
20400,49.2,True,True
20600,97.76,True,True
20800,111.03,True,True
21000,110.81,True,True
21200,98.87,True,True
21400,87.72,True,True
21600,117.86,True,True
21800,62.66,True,True
22000,91.28,True,True
22200,87.37,True,True
22400,69.97,True,True
22600,94.73,True,True
22800,84.02,True,True
23000,84.01,True,True
23200,86.89,True,True
23400,86.11,True,True
23600,42.38,True,True
23800,52.23,True,True
