CumEpisodes,AvgReward,SuccessRate,ElimRate
200,83.87,33.5,82.0
400,159.68,79.5,72.0
600,135.41,56.5,84.5
800,113.0,42.0,89.0
1000,135.55,57.0,84.5
1200,123.46,49.0,86.0
1400,149.94,61.5,92.0
1600,140.32,56.0,91.5
1800,131.25,46.5,97.5
2000,144.91,56.0,95.0
2200,144.26,56.0,96.5
2400,142.27,56.0,94.5
2600,150.73,57.5,97.5
2800,153.94,62.0,100.0
3000,140.68,53.5,96.0
3200,151.13,58.5,97.0
3400,139.99,54.5,96.0
3600,149.59,60.5,96.5
3800,147.76,56.5,96.5
4000,149.03,61.0,97.5
4200,152.03,64.0,95.0
4400,142.05,53.0,98.0
4600,147.27,56.5,98.5
4800,158.52,65.5,97.5
5000,161.98,67.5,99.5
5200,138.05,51.0,98.0
5400,142.4,56.5,97.5
5600,162.92,69.0,98.0
5800,140.33,50.5,98.5
6000,153.41,60.5,97.5
6200,164.3,68.0,97.5
6400,155.49,65.0,97.5
6600,153.28,65.0,98.0
6800,158.03,63.0,98.5
7000,163.3,70.5,98.5
7200,163.1,66.0,100.0
7400,160.86,65.5,97.5
7600,160.0,67.5,97.0
7800,132.5,49.0,98.5
8000,148.08,55.0,99.0
8200,137.2,47.5,100.0
8400,151.96,59.5,99.0
8600,141.58,54.5,97.5
8800,147.09,57.5,100.0
9000,148.13,59.0,98.5
9200,156.67,58.0,99.0
9400,162.69,71.0,95.0
9600,154.61,62.0,99.0
9800,158.39,65.5,97.5
10000,151.68,61.0,96.0
10200,156.45,62.0,98.5
10400,151.49,61.5,96.5
10600,143.98,56.0,98.0
10800,152.78,59.0,99.5
11000,160.52,65.0,100.0
11200,157.74,63.0,98.5
11400,144.88,56.0,97.5
11600,153.76,59.5,98.0
11800,160.35,67.0,98.0
12000,166.81,68.0,100.0
12200,169.49,72.5,98.0
12400,157.78,64.0,97.5
12600,161.55,67.5,99.5
12800,159.72,63.5,99.0
13000,162.2,64.5,99.0
13200,161.8,67.0,99.0
13400,171.12,72.0,98.5
13600,165.8,68.5,99.0
13800,166.55,70.0,98.5
14000,174.59,75.5,95.0
14200,163.73,71.5,98.0
14400,179.84,82.0,98.0
14600,173.37,72.0,99.5
14800,160.27,66.5,99.0
15000,162.94,68.0,99.0
15200,157.02,62.5,100.0
15400,172.53,72.0,99.5
15600,167.5,73.5,98.5
15800,160.42,65.0,99.0
16000,154.88,62.0,99.5
16200,160.44,63.5,100.0
16400,172.28,75.5,97.0
16600,164.83,70.0,96.5
16800,167.06,70.0,98.0
17000,174.74,75.5,98.0
17200,174.22,78.0,95.5
17400,162.69,65.5,99.0
17600,166.41,71.0,95.5
17800,163.72,68.5,96.5
18000,169.26,73.0,98.5
18200,163.23,68.0,99.5
18400,151.89,62.0,96.0
18600,162.22,67.5,97.5
18800,170.7,73.5,95.0
19000,165.67,71.0,94.0
19200,166.06,71.5,98.0
19400,169.81,74.0,98.0
19600,167.42,71.0,99.5
19800,169.17,74.0,97.5
20000,166.71,70.0,98.5
20200,172.48,76.5,98.0
20400,165.07,71.0,97.0
20600,155.8,61.5,99.0
20800,161.38,65.5,98.0
21000,162.23,71.5,97.5
21200,169.54,72.0,99.5
21400,159.22,65.5,100.0
21600,175.06,79.0,99.0
21800,175.69,81.0,95.5
22000,175.78,79.0,94.5
22200,173.28,76.5,94.0
22400,175.83,74.5,99.0
22600,171.17,75.5,95.0
22800,168.48,75.0,95.0
23000,172.96,76.5,99.5
23200,174.14,76.0,98.5
23400,182.09,83.5,98.0
23600,169.99,73.0,95.0
23800,175.37,79.5,94.5
24000,166.2,77.5,90.0
24200,167.01,74.5,93.0
24400,169.5,73.0,94.5
24600,170.62,73.5,99.0
24800,165.84,73.5,92.5
25000,170.79,77.0,94.0
25200,175.12,79.0,94.5
25400,179.45,79.0,98.0
25600,158.22,66.0,99.0
25800,177.63,75.5,99.0
26000,173.75,77.0,98.0
26200,171.9,78.0,93.5
26400,170.31,74.5,94.5
26600,165.05,76.0,87.5
26800,178.76,83.0,92.0
27000,168.91,75.5,93.5
27200,170.36,76.0,94.0
27400,170.92,75.0,94.5
27600,171.18,80.0,91.0
27800,161.95,72.5,91.5
28000,171.71,78.5,90.5
28200,173.36,77.0,97.0
28400,178.0,80.5,97.5
28600,178.63,81.0,95.5
28800,172.85,76.0,95.0
29000,180.75,80.0,97.5
29200,176.1,81.5,94.5
29400,186.9,84.0,98.5
29600,176.25,82.5,92.5
29800,180.47,83.0,95.5
30000,174.84,77.5,96.5
30200,174.95,77.0,97.0
30400,169.24,73.0,95.5
30600,178.74,77.5,98.5
30800,176.54,79.0,94.5
31000,178.02,81.5,95.0
31200,166.21,74.5,90.5
31400,173.53,78.5,94.0
31600,173.41,79.0,95.0
31800,169.16,76.0,95.5
32000,175.1,80.0,95.5
32200,178.44,82.0,92.0
32400,177.45,82.5,96.0
32600,182.3,81.0,99.0
32800,178.49,81.0,98.0
33000,183.46,81.5,98.0
33200,166.53,72.5,99.5
33400,164.1,71.0,97.5
33600,175.71,79.0,96.0
33800,178.59,76.0,96.5
34000,179.86,80.0,97.5
34200,180.41,82.0,96.5
34400,179.03,79.5,97.5
34600,178.8,80.5,97.5
34800,179.21,78.5,98.0
35000,180.27,81.5,96.0
35200,177.24,78.5,98.0
35400,182.88,82.0,99.5
35600,179.36,77.5,99.5
35800,172.15,75.0,98.0
36000,184.85,84.0,99.5
36200,179.68,81.0,98.0
36400,168.42,72.0,98.0
36600,175.84,79.0,95.5
36800,176.44,82.0,95.0
37000,172.29,78.5,94.0
37200,181.42,81.5,96.0
37400,181.01,81.5,96.0
37600,174.74,77.5,96.5
37800,180.37,82.5,92.0
38000,184.54,83.5,96.5
38200,179.5,79.0,95.5
38400,172.16,79.5,94.0
38600,166.82,75.0,92.0
38800,167.86,76.5,90.0
39000,179.2,80.0,95.0
39200,161.12,75.0,85.0
39400,169.17,78.0,89.5
39600,175.37,78.5,95.0
39800,185.78,85.0,97.5
40000,178.38,81.0,96.0
40200,189.44,84.0,99.0
40400,179.36,81.0,96.0
40600,183.92,83.0,98.5
40800,183.81,84.5,98.0
41000,170.07,73.5,97.5
41200,177.41,77.0,99.5
41400,179.47,82.0,95.5
41600,180.93,82.0,96.0
41800,171.67,76.5,96.5
42000,180.78,80.0,96.5
42200,166.96,77.5,89.0
42400,170.88,80.0,90.5
42600,193.12,89.0,97.0
42800,182.51,84.0,96.5
43000,182.87,83.0,97.5
43200,179.0,82.0,93.0
43400,179.67,81.0,99.0
43600,165.7,68.5,98.5
43800,178.01,79.0,94.5
44000,169.66,81.0,91.0
44200,182.52,86.0,96.5
44400,184.3,84.5,96.5
44600,182.31,82.5,97.0
44800,181.58,83.5,96.5
45000,172.57,76.5,97.0
45200,182.22,81.0,99.0
45400,186.69,85.5,99.5
45600,180.44,79.5,99.0
45800,173.81,79.0,95.5
46000,182.03,82.5,98.0
46200,174.98,75.5,97.5
46400,188.8,84.5,99.0
46600,179.04,80.5,98.0
46800,170.53,77.5,96.0
47000,181.96,84.5,96.0
47200,182.51,83.0,97.5
47400,180.06,80.0,97.0
47600,176.66,81.0,96.0
47800,171.9,78.5,96.0
48000,175.41,78.0,98.5
48200,179.32,82.0,95.0
48400,182.86,84.0,98.0
48600,179.1,81.0,99.0
48800,190.12,84.5,99.0
49000,187.05,84.5,98.5
49200,178.0,78.5,99.0
49400,178.37,79.5,97.5
49600,178.1,82.5,93.5
49800,181.44,81.0,98.0
50000,177.08,79.0,97.5
50200,178.83,80.5,98.0
50400,179.27,81.0,98.5
50600,177.39,82.0,97.5
50800,184.92,81.5,100.0
51000,174.62,80.5,93.0
51200,173.25,78.0,94.5
51400,179.42,79.5,97.0
51600,184.7,83.5,97.0
51800,170.43,73.5,97.5
52000,175.39,80.0,95.5
52200,167.71,76.5,91.5
52400,174.15,76.5,96.5
52600,183.55,82.0,98.5
52800,175.67,79.5,95.5
53000,185.76,87.0,97.0
53200,181.08,83.0,97.0
53400,181.48,81.5,99.5
53600,180.5,78.5,99.0
53800,185.22,85.5,98.5
54000,185.27,85.0,98.0
54200,182.76,82.0,98.0
54400,178.63,79.0,98.5
54600,180.2,78.0,99.0
54800,177.98,76.5,99.5
55000,185.4,87.0,98.0
55200,183.5,80.0,99.5
55400,178.26,78.5,100.0
55600,184.65,85.0,100.0
55800,178.11,79.0,99.0
56000,179.94,83.5,99.0
56200,187.84,84.0,100.0
56400,183.98,81.5,100.0
56600,185.16,84.5,100.0
56800,177.29,77.0,99.5
