CumEpisodes,Reward,Success,Elimination
200,155.69,True,True
400,143.94,True,False
600,74.63,True,True
800,114.96,True,True
1000,88.54,True,True
1200,169.51,True,True
1400,173.55,True,True
1600,151.0,True,True
1800,97.9,True,True
2000,189.87,True,True
2200,156.73,True,True
2400,114.1,True,True
2600,150.07,True,True
2800,178.51,True,True
3000,141.02,True,True
3200,170.32,True,True
3400,152.0,True,True
3600,110.63,True,True
3800,162.04,True,True
4000,190.44,True,True
4200,123.53,True,True
4400,184.52,True,True
4600,140.76,True,True
4800,131.98,True,True
5000,145.03,True,True
5200,154.67,True,True
5400,177.52,True,True
5600,185.88,True,True
5800,102.45,True,True
6000,172.46,True,True
6200,149.34,True,True
6400,134.27,True,True
6600,160.1,True,True
6800,122.35,True,True
7000,146.91,True,True
7200,162.11,True,True
7400,154.93,True,True
7600,144.16,True,True
7800,108.8,True,True
8000,190.73,True,True
8200,128.24,True,True
8400,144.02,True,True
8600,188.92,True,True
8800,123.87,True,True
9000,191.75,True,True
9200,100.81,True,True
9400,176.19,True,True
9600,150.03,True,True
9800,136.71,True,True
10000,139.99,True,True
10200,139.52,True,True
10400,145.34,True,True
10600,85.92,True,True
10800,91.29,True,True
11000,133.39,True,True
11200,163.68,True,True
11400,198.06,True,True
11600,100.69,True,True
11800,139.45,True,True
12000,199.1,True,True
12200,167.22,True,True
12400,171.13,True,True
12600,170.03,True,True
12800,123.51,True,True
13000,167.39,True,True
13200,181.55,True,True
13400,216.99,True,True
13600,160.43,True,True
13800,103.52,True,True
14000,172.37,True,True
14200,144.58,True,True
14400,177.5,True,True
14600,155.62,True,True
14800,186.37,True,True
15000,148.86,True,True
15200,171.95,True,True
15400,177.75,True,True
15600,157.92,True,True
15800,152.15,True,True
16000,183.7,True,True
16200,162.48,True,True
16400,170.8,True,True
16600,190.83,True,True
16800,200.09,True,True
17000,190.4,True,True
17200,169.44,True,True
17400,179.12,True,True
17600,146.68,True,True
17800,228.46,True,True
18000,164.1,True,True
18200,176.05,True,True
18400,155.05,True,True
18600,172.31,True,True
18800,166.01,True,True
19000,177.03,True,True
19200,209.61,True,True
19400,123.52,True,True
19600,141.55,True,True
19800,143.98,True,True
20000,201.18,True,True
20200,185.22,True,True
20400,169.74,True,True
20600,158.13,True,True
20800,159.67,True,True
21000,165.12,True,True
21200,117.87,True,True
21400,172.14,True,True
21600,104.71,True,True
21800,188.14,True,True
22000,191.25,True,True
22200,198.24,True,True
22400,163.72,True,True
22600,174.71,True,True
22800,188.35,True,True
23000,153.19,True,True
23200,214.29,True,True
23400,159.56,True,True
23600,147.21,True,True
23800,161.76,True,True
24000,177.11,True,True
24200,198.42,True,True
24400,178.13,True,True
24600,117.75,True,True
24800,198.06,True,True
25000,196.29,True,True
25200,200.33,True,True
25400,217.13,True,True
25600,192.41,True,True
25800,162.34,True,True
26000,169.23,True,True
26200,165.29,True,True
26400,165.58,True,True
26600,208.59,True,True
26800,121.58,True,True
27000,150.26,True,True
27200,160.26,True,True
27400,185.18,True,True
27600,156.62,True,True
27800,188.11,True,True
28000,211.88,True,True
28200,214.74,True,True
28400,175.74,True,True
28600,210.7,True,True
28800,195.7,True,True
29000,196.57,True,True
29200,168.99,True,True
29400,208.92,True,True
29600,143.6,True,True
29800,171.22,True,True
30000,147.96,True,True
30200,181.75,True,True
30400,150.82,True,True
30600,155.51,True,True
30800,129.38,True,True
31000,156.63,True,True
31200,173.57,True,True
31400,197.99,True,True
31600,154.33,True,True
31800,183.05,True,True
32000,181.46,True,True
32200,154.51,True,True
32400,155.14,True,True
32600,149.5,True,True
32800,197.0,True,True
33000,182.28,True,True
33200,191.93,True,True
33400,164.7,True,True
33600,124.18,True,True
33800,184.17,True,True
34000,179.91,True,True
34200,208.14,True,True
34400,218.37,True,True
34600,177.03,True,True
34800,196.47,True,True
35000,117.38,True,True
35200,173.53,True,True
35400,174.4,True,True
35600,154.28,True,True
35800,116.38,True,True
36000,216.76,True,True
36200,163.32,True,True
36400,171.9,True,True
36600,194.82,True,True
36800,155.51,True,True
37000,202.2,True,True
37200,198.06,True,True
37400,192.51,True,True
37600,167.01,True,True
37800,180.16,True,True
38000,168.76,True,True
38200,190.95,True,True
38400,199.38,True,True
38600,193.25,True,True
38800,172.47,True,True
39000,180.17,True,True
39200,174.76,True,True
39400,135.34,True,True
39600,177.8,True,True
39800,193.88,True,True
40000,161.06,True,True
40200,182.1,True,True
40400,182.74,True,True
40600,182.0,True,True
40800,183.97,True,True
41000,168.58,True,True
41200,209.17,True,True
41400,187.19,True,True
41600,199.17,True,True
41800,152.16,True,True
42000,205.67,True,True
42200,177.46,True,True
42400,198.81,True,True
42600,215.27,True,True
42800,150.41,True,True
43000,181.55,True,True
43200,185.08,True,True
43400,167.34,True,True
43600,179.14,True,True
43800,162.98,True,True
44000,163.18,True,True
44200,201.8,True,True
44400,197.85,True,True
44600,157.71,True,True
44800,189.04,True,True
45000,174.97,True,True
45200,154.96,True,True
45400,179.37,True,True
45600,202.17,True,True
45800,174.33,True,True
46000,185.0,True,True
46200,178.94,True,True
46400,201.68,True,True
46600,129.43,True,True
46800,167.31,True,True
47000,211.86,True,True
47200,198.58,True,True
47400,169.22,True,True
47600,159.01,True,True
47800,178.35,True,True
48000,157.41,True,True
48200,165.54,True,True
48400,218.56,True,True
48600,182.22,True,True
48800,195.9,True,True
49000,201.41,True,True
49200,193.12,True,True
49400,94.64,True,True
49600,158.95,True,True
49800,193.89,True,True
50000,177.08,True,True
50200,174.41,True,True
50400,203.59,True,True
50600,169.68,True,True
50800,186.85,True,True
51000,220.18,True,True
51200,206.84,True,True
51400,195.13,True,True
51600,170.83,True,True
51800,156.01,True,True
52000,162.11,True,True
52200,174.95,True,True
52400,198.85,True,True
52600,193.4,True,True
52800,173.76,True,True
53000,200.18,True,True
53200,155.19,True,True
53400,131.88,True,True
53600,203.49,True,True
53800,167.56,True,True
54000,192.77,True,True
54200,147.54,True,True
54400,202.13,True,True
54600,213.31,True,True
54800,183.07,True,True
55000,187.08,True,True
55200,181.22,True,True
55400,186.12,True,True
55600,164.45,True,True
55800,185.48,True,True
56000,172.37,True,True
56200,207.42,True,True
56400,188.13,True,True
56600,162.39,True,True
56800,208.51,True,True
57000,205.44,True,True
57200,203.41,True,True
57400,180.86,True,True
57600,179.1,True,True
57800,176.83,True,True
58000,178.82,True,True
58200,165.96,True,True
58400,185.49,True,True
58600,164.49,True,True
58800,200.08,True,True
59000,158.28,True,True
59200,182.13,True,True
59400,210.63,True,True
59600,180.82,True,True
59800,182.53,True,True
60000,194.13,True,True
