Run,AvgReward,SuccessRate,ElimRate
1,37.58,38.0,0.0
2,-24.0,13.0,0.0
3,27.76,33.0,0.0
4,44.16,45.0,0.0
5,29.83,33.0,0.0
6,12.15,27.0,0.0
7,18.78,27.0,0.0
8,-44.11,6.0,0.0
9,-27.85,14.0,0.0
10,8.88,28.0,0.0
11,36.76,38.0,0.0
12,28.72,38.0,0.0
13,13.21,28.0,0.0
14,-19.27,19.0,0.0
15,-5.04,21.0,0.0
16,43.39,42.0,0.0
17,18.44,28.0,0.0
18,33.36,45.0,0.0
19,16.71,25.0,0.0
20,32.76,38.0,0.0
21,60.5,51.0,0.0
22,-17.78,13.0,0.0
23,17.26,20.0,0.0
24,-21.4,16.0,0.0
25,15.13,23.0,0.0
26,-20.54,10.0,0.0
27,6.17,28.0,0.0
28,-32.19,11.0,0.0
29,-4.82,22.0,0.0
30,27.42,33.0,0.0
31,36.23,30.0,0.0
32,52.9,51.0,0.0
33,37.0,37.0,0.0
34,43.67,40.0,0.0
35,-33.1,8.0,0.0
36,-0.8,19.0,0.0
37,40.04,36.0,0.0
38,24.47,37.0,0.0
39,-0.36,22.0,0.0
40,31.59,38.0,0.0
41,14.28,29.0,0.0
42,23.82,31.0,0.0
43,-43.52,6.0,0.0
44,32.73,38.0,0.0
45,-5.02,17.0,0.0
46,32.64,30.0,0.0
47,37.06,43.0,0.0
48,-25.3,6.0,0.0
49,17.29,26.0,0.0
50,6.75,27.0,0.0
51,13.37,25.0,0.0
52,47.7,44.0,0.0
53,64.43,53.0,0.0
54,32.96,33.0,0.0
55,6.14,24.0,0.0
56,30.66,37.0,0.0
57,52.24,43.0,0.0
58,-35.85,7.0,0.0
59,-29.33,13.0,0.0
60,54.52,50.0,0.0
61,22.96,33.0,0.0
62,-45.12,4.0,0.0
63,29.29,36.0,0.0
64,76.05,59.0,0.0
65,90.49,62.0,0.0
66,-3.72,25.0,0.0
67,16.68,25.0,0.0
68,-23.1,10.0,0.0
69,-3.14,18.0,0.0
70,60.63,50.0,0.0
71,20.51,30.0,0.0
72,46.33,42.0,0.0
73,41.41,37.0,0.0
74,15.94,28.0,0.0
75,9.72,26.0,0.0
76,39.36,38.0,0.0
77,35.13,33.0,0.0
78,30.21,32.0,0.0
79,20.03,34.0,0.0
80,28.04,35.0,0.0
81,-2.25,18.0,0.0
82,57.59,50.0,0.0
83,45.94,44.0,0.0
84,-49.16,2.0,0.0
85,18.77,25.0,0.0
86,66.49,55.0,0.0
87,10.39,26.0,0.0
88,16.86,30.0,0.0
89,25.01,26.0,0.0
90,55.05,46.0,0.0
91,38.34,37.0,0.0
92,31.54,40.0,0.0
93,54.12,49.0,0.0
94,40.34,37.0,0.0
95,51.99,47.0,0.0
96,57.01,48.0,0.0
97,20.07,34.0,0.0
98,43.31,38.0,0.0
99,23.07,35.0,0.0
100,-60.79,0.0,0.0
101,54.43,48.0,0.0
102,1.82,24.0,0.0
103,5.02,20.0,0.0
104,-14.4,20.0,0.0
105,40.98,40.0,0.0
106,-29.43,12.0,0.0
107,4.81,16.0,0.0
108,-29.39,16.0,0.0
109,-62.86,2.0,0.0
110,-5.31,16.0,0.0
111,41.67,38.0,0.0
112,-29.97,6.0,0.0
113,-8.71,18.0,0.0
114,-53.4,4.0,0.0
115,-33.49,6.0,0.0
116,32.95,32.0,0.0
117,-38.91,12.0,0.0
118,-0.46,26.0,0.0
