CumEpisodes,Reward,Success,Elimination
200,61.47,True,False
400,17.93,False,False
600,35.95,True,False
800,98.67,True,False
1000,75.48,True,False
1200,19.64,True,False
1400,37.24,True,False
1600,37.28,True,False
1800,43.91,True,False
2000,-5.91,False,False
2200,64.4,True,False
2400,44.69,True,False
2600,47.57,True,False
2800,49.56,True,False
3000,63.96,True,False
3200,88.37,True,False
3400,71.62,True,False
3600,52.47,True,False
3800,68.74,True,False
4000,80.88,True,False
4200,81.61,True,False
4400,82.5,True,False
4600,77.9,True,False
4800,64.1,True,False
5000,35.65,True,False
5200,35.14,True,False
5400,47.02,True,False
5600,92.85,True,False
5800,42.53,True,False
6000,79.11,True,False
6200,24.0,True,False
6400,62.51,True,False
6600,68.0,True,False
6800,33.39,True,False
7000,30.91,True,False
7200,80.56,True,False
7400,61.15,True,False
7600,29.06,True,False
7800,64.41,True,False
8000,81.64,True,False
8200,29.26,True,False
8400,37.84,True,False
8600,68.84,True,False
8800,29.11,True,False
9000,96.46,True,False
9200,48.12,True,False
9400,67.18,True,False
9600,58.17,True,False
9800,48.47,True,False
10000,61.06,True,False
10200,59.27,True,False
10400,29.71,True,False
10600,89.8,True,False
10800,59.77,True,False
11000,54.35,True,False
11200,61.09,True,False
11400,67.27,True,False
11600,42.18,True,False
11800,47.22,True,False
12000,86.41,True,False
12200,38.29,True,False
12400,57.26,True,False
12600,86.08,True,False
12800,53.04,True,False
13000,62.63,True,False
13200,20.81,True,False
13400,81.14,True,False
13600,41.34,True,False
13800,53.57,True,False
14000,60.67,True,False
14200,34.23,True,False
14400,59.87,True,False
14600,64.23,True,False
14800,62.3,True,False
15000,49.43,True,False
15200,52.74,True,False
15400,21.46,True,False
15600,63.81,True,False
15800,48.95,True,False
16000,101.95,True,False
16200,54.39,True,False
16400,76.33,True,False
16600,61.89,True,False
16800,91.56,True,False
17000,63.03,True,False
17200,62.85,True,False
17400,95.34,True,False
17600,98.98,True,False
17800,141.43,True,False
18000,70.9,True,False
18200,40.45,True,False
18400,18.01,True,False
18600,87.77,True,False
18800,45.79,True,False
19000,60.33,True,False
19200,56.54,True,False
19400,77.99,True,False
19600,93.61,True,False
19800,62.66,True,False
20000,83.76,True,False
20200,53.73,True,False
20400,62.72,True,False
