CumEpisodes,MeanLoss
0,30661.009470999994
200,32722.789656499997
400,30523.2822525
600,27149.6124985
800,32903.428992999994
1000,31631.972525499998
1200,27141.9421935
1400,26078.056941500003
1600,28141.107296500002
1800,29294.8266855
2000,27580.624764
2200,26917.713832999998
2400,24847.9611475
2600,28620.735809499998
2800,27910.9955635
3000,27806.6327485
3200,29680.419968500002
3400,31309.124972
3600,29310.6840735
3800,29319.523359
4000,29997.1113445
4200,33590.09515
4400,29410.410575500002
4600,27172.698786500005
4800,26858.857942000002
5000,29667.797321499995
5200,26400.495496
5400,26033.065217500003
5600,26149.060075
5800,31738.9827835
6000,26387.806158
6200,29801.133580499998
6400,26999.789716499996
6600,29898.266009
6800,24755.611331000004
7000,26933.115304
7200,27806.759294
7400,23935.1941395
7600,27159.708115999998
7800,26060.1270225
8000,28120.557565000003
8200,27985.058927500002
8400,28637.210595500004
8600,23009.4523905
8800,27222.506909
9000,26649.630061
9200,29691.2619665
9400,23785.061831
9600,29105.000776999997
9800,27283.734937
10000,30307.493105999998
10200,29274.6118325
10400,25772.0679555
10600,24373.3066925
10800,23008.2182655
11000,26966.602277500002
11200,24177.392523500002
11400,26659.078464500002
11600,23697.584778
11800,26394.453016
12000,29434.536587500002
12200,30555.026124
12400,28325.5581805
12600,27435.838362
12800,26868.3018635
13000,28401.489020999998
13200,26809.3448485
13400,23770.824225500004
13600,28135.8494745
13800,26727.952905500002
14000,25897.9287655
14200,30610.163673
14400,27685.3787025
14600,27324.538909
14800,26973.033119
15000,28357.664431
15200,23897.436278999998
15400,25869.484874
15600,28364.444077500004
15800,27167.268683000002
16000,27141.834933000002
16200,28723.9034545
16400,27373.186665
16600,25273.256915999995
16800,26258.827978499998
17000,30263.889869
17200,30119.067338000004
17400,27548.3211945
17600,23967.807409499994
17800,25007.711646499996
18000,24858.4811815
18200,26623.795615
18400,23840.833478
18600,24527.4512335
18800,24425.1980345
19000,27556.702579999997
19200,27300.086506500003
19400,31878.979413
19600,28998.189534999998
19800,24031.7803015
20000,27362.3614255
20200,26574.547463500003
20400,27156.183127499997
20600,30840.086999500003
20800,29610.3644615
21000,27132.008178000004
21200,29461.9469345
21400,26163.564254999998
21600,28177.791613499998
21800,26707.238540500002
22000,30039.769826000003
22200,27384.211575499998
22400,28748.598735499996
22600,30002.223348000003
22800,30453.852713
23000,31015.579411500003
23200,28201.08767
23400,34353.404583
23600,28094.148622999997
23800,27825.403773
24000,26743.406338
24200,24377.7422115
24400,27607.0949315
24600,29930.6861875
24800,31264.003717
25000,32791.6679095
25200,27597.621625000007
25400,25587.702268000005
25600,23435.6999225
25800,28277.581058
26000,25389.76034
26200,26069.718409
26400,25219.310537999998
26600,26307.40571
26800,27497.964054
27000,25755.3154875
27200,27755.8284945
27400,27930.249046500005
27600,26699.2187285
27800,26061.777900999998
28000,27933.3873285
28200,26770.8343175
28400,25482.779599999998
28600,26736.208013500003
28800,29091.291568
29000,22766.551683
29200,24986.956201
29400,24332.967145500003
29600,30773.2396705
29800,28372.31818
30000,27472.312250499996
30200,28525.5047315
30400,24422.4410645
30600,27847.222039
30800,26532.1141905
31000,28732.791339000003
31200,25587.2829935
31400,24326.3047065
31600,29259.723724499996
31800,29775.620441000006
32000,25304.230020000003
32200,27316.743561
32400,26163.966033
32600,26308.817235000002
