CumEpisodes,AvgReward,SuccessRate,ElimRate
200,47.75,37.0,0.0
400,51.28,35.0,0.0
600,58.23,39.5,0.0
800,58.72,41.5,0.0
1000,51.61,36.5,0.0
1200,61.66,43.0,0.0
1400,46.34,30.5,0.0
1600,40.52,25.5,0.0
1800,45.62,31.0,0.0
2000,62.49,43.0,0.0
2200,46.59,33.0,0.0
2400,65.62,44.0,0.0
2600,68.93,43.5,0.0
2800,61.01,41.0,0.0
3000,58.26,39.5,0.0
3200,56.35,36.5,0.0
3400,61.19,42.5,0.0
3600,60.45,41.5,0.0
3800,67.67,46.5,0.0
4000,53.34,37.0,0.0
4200,56.17,39.5,0.0
4400,56.21,37.0,0.0
4600,56.97,36.5,0.0
4800,66.11,45.5,0.0
5000,53.86,35.0,0.0
5200,62.22,42.0,0.0
5400,51.96,37.0,0.0
5600,60.91,41.5,0.0
5800,61.33,43.0,0.0
6000,58.15,38.0,0.0
6200,61.43,40.5,0.0
6400,55.92,38.0,0.0
6600,47.74,33.5,0.0
6800,59.65,39.5,0.0
7000,58.94,42.0,0.0
7200,67.75,44.5,0.0
7400,55.44,36.5,0.0
7600,43.45,30.0,0.0
7800,51.97,35.5,0.0
8000,62.62,39.5,0.0
8200,57.15,36.0,0.0
8400,62.85,42.0,0.0
8600,62.6,42.5,0.0
8800,62.8,42.5,0.0
9000,65.46,46.0,0.0
9200,62.96,38.0,0.0
9400,63.43,44.5,0.0
9600,51.82,33.0,0.0
9800,58.11,38.5,0.0
10000,46.8,29.5,0.0
10200,62.29,40.5,0.0
10400,52.94,35.5,0.0
10600,49.6,32.5,0.0
10800,51.08,31.0,0.0
11000,71.14,48.0,0.0
11200,54.74,33.5,0.0
11400,66.03,45.0,0.0
11600,55.33,34.0,0.0
11800,57.23,39.0,0.0
12000,55.71,35.0,0.0
12200,52.04,33.5,0.0
12400,50.91,31.0,0.0
12600,71.33,50.0,0.0
12800,68.52,45.0,0.0
13000,68.01,42.5,0.0
13200,62.83,41.5,0.0
13400,58.04,36.5,0.0
13600,51.92,33.0,0.0
13800,57.24,36.0,0.0
14000,65.02,40.0,0.0
14200,61.61,42.5,0.0
14400,66.26,45.0,0.0
14600,63.65,39.5,0.0
14800,50.88,33.5,0.0
15000,55.9,36.5,0.0
15200,68.58,45.5,0.0
15400,64.88,41.0,0.0
15600,64.37,44.5,0.0
15800,69.14,44.5,0.0
16000,70.6,50.5,0.0
16200,68.61,44.5,0.0
16400,78.16,53.5,0.0
16600,75.66,51.5,0.0
16800,72.37,47.0,0.0
17000,60.79,38.5,0.0
17200,68.89,45.5,0.0
17400,68.28,45.0,0.0
17600,64.19,42.0,0.0
17800,71.15,46.5,0.0
18000,66.03,44.0,0.0
18200,56.1,37.0,0.0
18400,57.35,38.5,0.0
