CumEpisodes,Reward,Success,Elimination
200,3.75,False,False
400,43.88,False,False
600,-14.34,False,False
800,103.71,True,False
1000,139.64,True,False
1200,5.0,False,False
1400,148.24,True,False
1600,72.09,True,False
1800,40.1,False,False
2000,15.94,False,False
2200,65.89,False,False
2400,21.28,False,False
2600,25.73,False,False
2800,-7.05,False,False
3000,15.18,False,False
3200,149.76,True,False
3400,15.38,False,False
3600,-7.77,False,False
3800,36.19,False,False
4000,102.46,True,False
4200,49.78,False,False
4400,146.62,True,False
4600,-9.42,False,False
4800,-36.45,False,False
5000,-24.86,False,False
5200,15.38,False,False
5400,5.76,False,False
5600,106.47,True,False
5800,12.47,False,False
6000,122.46,True,False
6200,126.77,True,False
6400,122.66,True,False
6600,19.03,False,False
6800,5.83,False,False
7000,18.85,False,False
7200,-20.42,False,False
7400,112.13,True,False
7600,6.56,False,False
7800,-9.57,False,False
8000,163.9,True,False
8200,46.87,False,False
8400,-4.76,False,False
8600,28.71,False,False
8800,25.27,False,False
9000,109.26,True,False
9200,95.15,True,False
9400,148.7,True,False
9600,45.0,False,False
9800,155.11,True,False
10000,33.47,False,False
10200,-32.11,False,False
10400,35.34,False,False
10600,-14.58,False,False
10800,23.32,False,False
11000,147.01,True,False
11200,5.62,False,False
11400,176.59,True,False
11600,21.33,False,False
11800,19.25,False,False
12000,48.13,False,False
12200,27.26,False,False
12400,44.25,False,False
12600,132.74,True,False
12800,14.73,False,False
13000,177.2,True,False
13200,47.35,False,False
13400,103.15,True,False
13600,51.97,False,False
13800,15.68,False,False
14000,-43.86,False,False
14200,32.98,False,False
14400,37.88,False,False
14600,112.66,True,False
14800,15.73,False,False
15000,-35.27,False,False
15200,5.55,False,False
15400,-29.15,False,False
15600,38.81,False,False
15800,128.73,True,False
16000,113.2,True,False
16200,146.85,True,False
16400,136.82,True,False
16600,140.93,True,False
16800,50.1,False,False
17000,-4.89,False,False
17200,43.57,False,False
17400,92.28,True,False
17600,117.7,True,False
17800,145.33,True,False
18000,59.26,False,False
18200,45.26,False,False
18400,-54.91,False,False
18600,107.38,True,False
18800,105.7,True,False
19000,52.65,False,False
19200,13.54,False,False
19400,-45.56,False,False
19600,102.69,True,False
19800,2.07,False,False
20000,16.66,False,False
20200,121.86,True,False
20400,111.5,True,False
20600,21.35,False,False
20800,55.84,False,False
21000,52.73,False,False
21200,154.71,True,False
21400,139.92,True,False
21600,62.24,False,False
21800,120.92,True,False
22000,38.64,False,False
22200,143.26,True,False
22400,1.07,False,False
22600,154.54,True,False
22800,15.07,False,False
23000,145.7,True,False
23200,139.93,True,False
23400,146.37,True,False
23600,96.98,True,False
23800,107.35,True,False
24000,-2.58,False,False
24200,173.64,True,False
24400,17.59,False,False
24600,139.07,True,False
24800,148.18,True,False
25000,43.73,False,False
25200,61.65,False,False
25400,167.17,True,False
25600,133.3,True,False
25800,142.68,True,False
26000,49.41,False,False
26200,92.76,True,False
26400,122.13,True,False
26600,156.59,True,False
26800,119.88,True,False
27000,131.34,True,False
27200,175.79,True,False
27400,153.36,True,False
27600,-25.44,False,False
27800,113.49,True,False
28000,35.58,False,False
28200,110.2,True,False
28400,103.7,True,False
28600,17.3,False,False
28800,25.01,False,False
29000,177.25,True,False
29200,114.84,True,False
29400,11.31,False,False
29600,155.71,True,False
29800,-38.68,False,False
30000,129.41,True,False
30200,138.86,True,False
30400,-28.62,False,False
30600,33.64,False,False
30800,-6.64,False,False
31000,93.59,True,False
31200,14.19,False,False
31400,-12.15,False,False
31600,64.59,False,False
31800,140.23,True,False
32000,129.64,True,False
32200,128.53,True,False
32400,16.77,False,False
