Run,AvgReward,SuccessRate,ElimRate
0,-40.13202380952381,18.375,24.625
1,-3.448690476190476,33.375,22.375
2,-36.96702380952381,20.5,24.375
3,-53.75928571428571,14.875,24.75
4,-11.501904761904761,31.625,23.75
5,-39.65226190476191,18.25,22.125
6,88.43380952380951,77.625,10.5
7,-66.98833333333334,11.375,23.0
8,7.0530952380952385,39.625,24.0
9,-20.66940476190476,26.0,23.75
10,32.669285714285714,53.75,16.75
11,-2.5635714285714286,37.125,25.125
12,31.929285714285715,58.875,22.125
13,-5.4435714285714285,39.625,40.875
14,-26.17178571428571,33.75,47.5
15,-54.42833333333333,13.5,23.5
16,45.647619047619045,65.125,18.375
17,20.631785714285712,48.625,19.375
18,-38.310833333333335,18.125,24.5
19,-44.90130952380952,16.375,24.125
20,-13.321309523809523,29.5,24.75
21,27.650714285714283,57.875,27.125
22,-46.502738095238094,17.0,24.125
23,38.327023809523816,55.5,22.0
24,-68.10499999999999,10.375,25.25
25,29.53297619047619,59.25,46.75
26,-78.85869047619047,5.875,24.0
27,-36.64797619047619,23.375,45.5
28,-40.77642857142857,16.75,22.75
29,19.667380952380952,63.5,23.875
30,-13.413571428571428,28.875,21.75
31,26.635357142857142,55.0,21.25
32,-42.89964285714286,17.625,22.0
33,20.060714285714283,44.0,18.375
34,-2.9129761904761904,41.875,27.0
35,153.36440476190478,100.0,22.0
36,-32.61464285714286,28.5,48.5
37,22.447738095238098,58.375,49.875
38,-41.452261904761905,16.625,23.0
39,-6.152499999999999,31.375,24.5
40,14.062261904761906,43.25,21.875
41,172.2761904761905,100.0,50.0
42,-14.102738095238097,26.125,21.875
43,-10.440714285714286,33.25,24.0
44,-10.37702380952381,28.125,22.0
45,-0.9297619047619046,41.25,26.5
46,39.45392857142857,63.375,49.875
47,-8.165000000000001,31.375,27.0
48,-34.63654761904762,20.25,27.75
49,-43.88464285714286,16.125,20.375
50,-26.408214285714287,23.125,23.5
51,-52.47071428571429,13.375,24.5
