Run,Reward,Success,Elimination
1,-39.11,False,False
2,-35.0,False,False
3,-51.05,False,False
4,20.91,True,True
5,8.47,True,True
6,-49.89,False,False
7,141.47,True,False
8,23.51,True,True
9,50.14,True,True
10,14.48,True,True
11,67.05,True,True
12,51.08,True,True
13,154.26,True,False
14,-36.64,False,False
15,28.44,True,True
16,-102.82,False,False
17,148.81,True,False
18,165.42,True,True
19,-39.78,False,False
20,-48.93,False,False
21,-49.71,False,False
22,22.86,True,False
23,-67.14,False,False
24,-14.88,False,False
25,-41.16,False,True
26,57.86,True,True
27,-145.53,False,False
28,4.99,True,True
29,-23.44,False,False
30,80.89,True,True
31,45.22,True,True
32,68.3,True,True
33,-4.94,False,True
34,167.74,True,True
35,99.71,True,True
36,118.8,True,False
37,19.43,True,True
38,29.8,True,True
39,26.78,True,True
40,-37.49,False,False
41,60.77,True,True
42,170.1,True,True
43,97.93,True,False
44,78.34,True,True
45,-9.98,False,False
46,-8.24,False,False
47,30.04,True,True
48,-45.82,False,False
49,24.82,True,True
50,-20.25,False,True
51,78.25,True,True
52,-37.6,False,False
53,-32.77,False,False
54,-76.8,False,False
55,180.36,True,True
56,-38.39,False,False
57,-10.74,False,False
58,-46.11,False,False
59,43.16,True,True
60,148.76,True,False
61,-1.15,False,True
62,213.01,True,True
63,216.0,True,True
64,70.17,True,True
65,-78.74,False,False
66,34.31,True,True
67,34.9,True,True
68,24.47,True,True
69,-2.65,False,True
70,-44.58,False,False
71,27.61,True,True
72,27.27,True,True
73,82.43,True,False
74,-83.39,False,False
75,67.81,True,True
76,94.89,True,False
77,21.67,True,True
78,31.91,True,True
79,-36.49,False,False
80,39.51,True,True
81,-30.13,False,True
82,93.16,True,False
83,175.44,True,True
84,-7.83,False,True
85,-45.94,False,False
86,62.05,True,True
87,-64.61,False,False
88,52.01,True,True
89,-29.58,False,True
90,81.38,True,True
91,21.72,True,True
92,55.7,True,True
93,-57.96,False,False
94,-95.24,False,False
95,9.73,True,False
96,4.05,True,True
97,5.25,True,True
98,-67.57,False,False
99,2.8,True,True
100,-17.5,False,True
101,38.29,True,True
102,143.73,True,False
103,-87.14,False,False
104,26.73,True,True
105,13.52,True,True
106,-37.84,False,False
107,-63.12,False,False
108,-14.03,False,True
109,28.84,True,False
110,-4.62,False,False
111,45.75,True,True
112,-14.89,False,False
113,25.74,True,True
114,34.62,True,True
115,-1.19,False,True
116,59.84,True,True
117,90.26,True,True
118,-51.72,False,False
119,14.08,True,False
120,88.09,True,False
121,2.64,True,True
122,-29.75,False,False
123,-40.98,False,False
124,12.82,True,True
125,-42.55,False,False
126,-44.35,False,False
127,133.52,True,False
128,114.78,True,False
129,-20.4,False,False
130,35.68,True,True
131,51.89,True,True
132,-40.03,False,True
133,40.11,True,True
134,-62.85,False,False
135,89.86,True,False
136,-107.51,False,False
137,39.27,True,True
138,-12.58,False,True
139,110.03,True,True
140,-3.69,False,True
141,-29.86,False,False
142,74.27,True,True
143,6.85,True,True
144,156.74,True,False
145,-54.21,False,True
146,-28.9,False,True
147,22.15,True,True
148,30.01,True,True
149,-29.85,False,False
150,19.48,True,True
151,-32.02,False,False
152,46.37,True,True
153,-50.64,False,False
154,68.67,True,True
155,61.19,True,True
156,-21.98,False,True
157,-39.53,False,False
158,10.93,True,True
159,42.49,True,True
160,41.33,True,True
161,-38.91,False,False
162,80.03,True,True
163,-35.7,False,False
164,-13.46,False,False
165,33.16,True,True
166,-3.39,False,True
167,43.79,True,True
168,38.57,True,True
169,-69.88,False,False
170,47.03,True,True
171,-35.0,False,False
172,-33.34,False,False
173,7.45,True,True
174,60.8,True,True
175,-48.89,False,False
176,-9.48,False,True
177,34.12,True,True
178,36.88,True,True
179,60.83,True,True
180,-34.83,False,False
181,-30.46,False,False
182,-4.37,False,True
183,-104.47,False,False
184,14.46,True,False
185,-0.45,False,True
186,19.35,True,True
187,85.36,True,False
188,79.8,True,False
189,2.9,True,True
190,-38.55,False,False
191,-58.49,False,False
192,11.96,True,True
193,-32.75,False,False
194,-56.18,False,False
195,30.84,True,True
196,-96.49,False,False
197,-39.33,False,False
198,40.36,True,True
199,14.1,True,True
200,48.88,True,True
201,79.64,True,True
202,147.8,True,False
203,116.6,True,False
204,-9.54,False,False
205,19.29,True,True
206,-116.32,False,False
207,-27.01,False,False
208,84.03,True,True
209,-64.2,False,False
210,127.99,True,False
211,14.68,True,True
212,-38.31,False,False
213,206.88,True,True
214,-43.89,False,True
215,49.08,True,True
216,-33.44,False,False
217,-38.42,False,False
218,-26.66,False,True
219,46.4,True,True
220,-89.65,False,False
221,148.46,True,False
222,40.53,True,True
